Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Detroit Pistons (1) ,33,11,0.75,—,117.4,110.1,6.07
Boston Celtics (2) ,29,17,0.63,5,116.6,109.9,5.62
Toronto Raptors (3) ,29,19,0.604,6,114,111.9,1.66
New York Knicks (4) ,27,18,0.6,6.5,117.8,113.7,3.59
Cleveland Cavaliers (5) ,28,20,0.583,7,119,116.5,2.59
Philadelphia 76ers (6) ,24,21,0.533,9.5,116.1,115.8,0.23
Miami Heat (7) ,25,22,0.532,9.5,119.7,118,2.42
Orlando Magic (8) ,23,22,0.511,10.5,115,115.4,-0.25
Chicago Bulls (9) ,23,23,0.5,11,117.9,119.9,-2.62
Atlanta Hawks (10) ,23,25,0.479,12,117.8,118.7,-0.61
Milwaukee Bucks (11) ,18,26,0.409,15,111.9,115.5,-3.56
Charlotte Hornets (12) ,19,28,0.404,15.5,116.3,115,0.61
Brooklyn Nets (13) ,12,32,0.273,21,107.9,115.1,-6.98
Indiana Pacers (14) ,11,36,0.234,23.5,110.2,118.5,-7.36
Washington Wizards (15) ,10,34,0.227,23,112.3,123.1,-10.55
,,,,,,,
2025-26 Projected Standings,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Oklahoma City Thunder (1) ,37,10,0.787,—,120.8,107.9,12.16
San Antonio Spurs (2) ,31,15,0.674,5.5,117.4,112.4,4.98
Denver Nuggets (3) ,31,15,0.674,5.5,120.7,116.2,3.11
Houston Rockets (4) ,28,16,0.636,7.5,116.7,110.5,5.75
Los Angeles Lakers (5) ,28,17,0.622,8,116.3,116.3,-0.29
Minnesota Timberwolves (6) ,28,19,0.596,9,119,114.3,3.85
Phoenix Suns (7) ,27,19,0.587,9.5,114.2,111.8,2.52
Golden State Warriors (8) ,26,22,0.542,11.5,116,113.4,2.77
Portland Trail Blazers (9) ,23,24,0.489,14,115.6,117.5,-0.56
Los Angeles Clippers (10) ,21,24,0.467,15,112.6,113,-0.04
Dallas Mavericks (11) ,19,27,0.413,17.5,114.3,116.5,-2.75
Memphis Grizzlies (12) ,18,26,0.409,17.5,115.2,116.4,-1.19
Utah Jazz (13) ,15,31,0.326,21.5,119,127.8,-7.3
Sacramento Kings (14) ,12,35,0.255,25,111,121.2,-8.56
New Orleans Pelicans (15) ,12,36,0.25,25.5,114.8,121.5,-5.8
